Year	EW(m)	NS(m)	UD(m)
2012.68443	-0.00836	0.0550798	-0.07092
2012.68716	-0.01258	0.0583398	-0.07176
2012.68989	-0.01179	0.0588998	-0.07082
2012.69262	-0.00961	0.0600698	-0.07149
2012.69536	-0.00794	0.0573198	-0.07722
2012.69809	-0.00911	0.0594998	-0.07169
2012.70082	-0.01152	0.0602398	-0.06473
2012.70355	-0.01305	0.0597898	-0.08174
2012.70628	-0.01203	0.0581898	-0.07459
2012.70902	-0.01006	0.0574598	-0.06984
2012.71175	-0.01028	0.0591098	-0.06818
2012.71448	-0.01106	0.0598398	-0.0679
2012.71721	-0.01036	0.0584298	-0.0783
2012.71995	-0.01295	0.0608998	-0.07618
2012.72268	-0.00863	0.0574298	-0.07271
2012.72541	-0.01124	0.0593798	-0.06991
2012.72814	-0.01073	0.0604498	-0.07349
2012.73087	-0.01376	0.0638398	-0.07267
2012.73361	-0.00967	0.0573098	-0.06152
2012.73634	-0.01	0.0596398	-0.07838
2012.73907	-0.00857	0.0591598	-0.0723
2012.7418	-0.01125	0.0598698	-0.07696
2012.74454	-0.01103	0.0581398	-0.07386
2012.74727	-0.01125	0.0595398	-0.07492
2012.75	-0.01127	0.0586298	-0.07497
2012.75273	-0.01118	0.0601898	-0.072
2012.75546	-0.00904	0.0586698	-0.07599
2012.7582	-0.00569	0.0586098	-0.07625
2012.76093	-0.00905	0.0594798	-0.07791
2012.76366	-0.00837	0.0572598	-0.07736
2012.76639	-0.00766	0.0581298	-0.08472
2012.76913	-0.00865	0.0603298	-0.07816
2012.77186	-0.00711	0.0588098	-0.07148
2012.77459	-0.00908	0.0585498	-0.06965
2012.77732	-0.00827	0.0590898	-0.07158
2012.78005	-0.00772	0.0569298	-0.0782
2012.78279	-0.00703	0.0588498	-0.07358
2012.78552	-0.0079	0.0590298	-0.07151
2012.78825	-0.00842	0.0588398	-0.07964
2012.79098	-0.00774	0.0574698	-0.07989
2012.79372	-0.0089	0.0592698	-0.07063
2012.79645	-0.00854	0.0585498	-0.07859
2012.79918	-0.00836	0.0580798	-0.08064
2012.80191	-0.00925	0.0590698	-0.07298
2012.80464	-0.00823	0.0573898	-0.06949
2012.80738	-0.00849	0.0592498	-0.06832
2012.81011	-0.00727	0.0589198	-0.06978
2012.81284	-0.01015	0.0586498	-0.07278
2012.81557	-0.00877	0.0588698	-0.07597
2012.81831	-0.01004	0.0586298	-0.07488
2012.82104	-0.00707	0.0591498	-0.08055
2012.82377	-0.00773	0.0582398	-0.07155
2012.8265	-0.00742	0.0589398	-0.07743
2012.82923	-0.00937	0.0603498	-0.07241
2012.83197	-0.00944	0.0603698	-0.06975
2012.8347	-0.00952	0.0598298	-0.07672
2012.83743	-0.01027	0.0605698	-0.08277
2012.84016	-0.01236	0.0571998	-0.07199
2012.8429	-0.01178	0.0639198	-0.07001
2012.84563	-0.01064	0.0603598	-0.07288
2012.84836	-0.01013	0.0599998	-0.08057
2012.85109	-0.00897	0.0621898	-0.07712
2012.85383	-0.01065	0.0627598	-0.08138
2012.85656	-0.00904	0.0624598	-0.07748
2012.85929	-0.01161	0.0604598	-0.08062
2012.86202	-0.00924	0.0595998	-0.07696
2012.86475	-0.0111	0.0601698	-0.07055
2012.86749	-0.0114	0.0613898	-0.06981
2012.87022	-0.01273	0.0601498	-0.0769
2012.87295	-0.01109	0.0596698	-0.08305
2012.87568	-0.01242	0.0634798	-0.07266
2012.87842	-0.01326	0.0611698	-0.07167
2012.88115	-0.0123	0.0624698	-0.06861
2012.88388	-0.01326	0.0609398	-0.07143
2012.88661	-0.01279	0.0613998	-0.0765
2012.88934	-0.01296	0.0611598	-0.08127
2012.89208	-0.01352	0.0597398	-0.08117
2012.89481	-0.01571	0.0608298	-0.07941
2012.89754	-0.01422	0.0619698	-0.07608
2012.90027	-0.01339	0.0611898	-0.07716
2012.90301	-0.01553	0.0617598	-0.07139
2012.90574	-0.01353	0.0612898	-0.07063
2012.90847	-0.01562	0.0624798	-0.07578
2012.9112	-0.01493	0.0627498	-0.07438
2012.91393	-0.01596	0.0649498	-0.0782
2012.91667	-0.01406	0.0616398	-0.08001
2012.9194	-0.01431	0.0613798	-0.07781
2012.92213	-0.01493	0.0620098	-0.07694
2012.92486	-0.01265	0.0611098	-0.07762
2012.9276	-0.01522	0.0630398	-0.07744
2012.93033	-0.01363	0.0610098	-0.07388
2012.93306	-0.01317	0.0624098	-0.07187
2012.93579	-0.01382	0.0623198	-0.07113
2012.93852	-0.01481	0.0642998	-0.07518
2012.94126	-0.01642	0.0644498	-0.08415
2012.94399	-0.01689	0.0648098	-0.07971
2012.94672	-0.01626	0.0631998	-0.0835
2012.94945	-0.01609	0.0651798	-0.07883
2012.95219	-0.01625	0.0633698	-0.08383
2012.95492	-0.01624	0.0645098	-0.08648
2012.95765	-0.01456	0.0632898	-0.0856
2012.96038	-0.0142	0.0642198	-0.07797
2012.96311	-0.01785	0.0624498	-0.08176
2012.96585	-0.01759	0.0646998	-0.08387
2012.96858	-0.01537	0.0626798	-0.08126
2012.97131	-0.01563	0.0613398	-0.08333
2012.97404	-0.01638	0.0612798	-0.08125
2012.97678	-0.01849	0.0623998	-0.0849
2012.97951	-0.01682	0.0634698	-0.08312
2012.98224	-0.0189	0.0628198	-0.08551
2012.98497	-0.01885	0.0628098	-0.08699
2012.9877	-0.01833	0.0636298	-0.0877
2012.99044	-0.01671	0.0618598	-0.0922
2012.99317	-0.01757	0.0635998	-0.08634
2012.9959	-0.01851	0.0639798	-0.08254
2012.99863	-0.0185	0.0650398	-0.07925
2013.00137	-0.01701	0.0641498	-0.08869
2013.00411	-0.01814	0.0638598	-0.08626
2013.00685	-0.01908	0.0635198	-0.08921
2013.00959	-0.01978	0.0633598	-0.08526
2013.01233	-0.019	0.0624698	-0.08541
2013.01507	-0.01827	0.0642098	-0.08257
2013.01781	-0.01817	0.0622398	-0.09064
2013.02055	-0.01872	0.0637698	-0.08377
2013.02329	-0.01995	0.0634198	-0.08296
2013.02603	-0.02068	0.0625298	-0.08603
2013.02877	-0.01983	0.0651498	-0.0886
2013.03151	-0.01897	0.0640698	-0.08698
2013.03425	-0.02036	0.0644198	-0.08514
2013.03699	-0.02001	0.0648998	-0.08814
2013.03973	-0.01891	0.0656098	-0.08501
2013.04247	-0.01918	0.0662798	-0.08763
2013.04521	-0.02011	0.0647998	-0.08703
2013.04795	-0.01906	0.0651598	-0.08861
2013.05068	-0.01987	0.0668298	-0.09071
2013.05342	-0.02045	0.0654498	-0.09521
2013.05616	-0.01834	0.0627398	-0.09231
2013.0589	-0.02024	0.0650798	-0.08917
2013.06164	-0.02104	0.0649698	-0.09293
2013.06438	-0.0204	0.0636898	-0.09285
2013.06712	-0.02139	0.0676898	-0.09005
2013.06986	-0.02045	0.0680198	-0.08969
2013.0726	-0.02299	0.0658398	-0.09251
2013.07534	-0.02097	0.0671898	-0.087
2013.07808	-0.02068	0.0670898	-0.09279
2013.08082	-0.02049	0.0685198	-0.0877
2013.08356	-0.01929	0.0654098	-0.09264
2013.0863	-0.01788	0.0670098	-0.09591
2013.08904	-0.01766	0.0659298	-0.0875
2013.09178	-0.01684	0.0682798	-0.07679
2013.09452	-0.01923	0.0656698	-0.09205
2013.09726	-0.01906	0.0672098	-0.0941
2013.1	-0.01663	0.0696798	-0.09264
2013.10274	-0.01796	0.0672098	-0.09255
2013.10548	-0.01794	0.0667998	-0.09813
2013.10822	-0.01766	0.0675198	-0.09295
2013.11096	-0.01804	0.0694598	-0.0935
2013.1137	-0.01729	0.0653798	-0.09768
2013.11644	-0.0195	0.0675398	-0.09423
2013.11918	-0.01792	0.0666698	-0.09881
2013.12192	-0.017	0.0645598	-0.09928
2013.12466	-0.01909	0.0661898	-0.09509
2013.1274	-0.01625	0.0654998	-0.09643
2013.13014	-0.01435	0.0667998	-0.09811
2013.13288	-0.01732	0.0661498	-0.09708
2013.13562	-0.01838	0.0666498	-0.09742
2013.13836	-0.01924	0.0672898	-0.09642
2013.1411	-0.01846	0.0681898	-0.10079
2013.14384	-0.02125	0.0672898	-0.10041
2013.14658	-0.01877	0.0682898	-0.09721
2013.14932	-0.01886	0.0697098	-0.09976
2013.15205	-0.01893	0.0689598	-0.10263
2013.15479	-0.01999	0.0701498	-0.09594
2013.15753	-0.01968	0.0692198	-0.09398
2013.16027	-0.01903	0.0696898	-0.10028
2013.16301	-0.01938	0.0675398	-0.09992
2013.16575	-0.01945	0.0666198	-0.09646
2013.16849	-0.02075	0.0695298	-0.0956
2013.17123	-0.02204	0.0679598	-0.09378
2013.17397	-0.01969	0.0671798	-0.09448
2013.17671	-0.01991	0.0693398	-0.09182
2013.17945	-0.01966	0.0680398	-0.08779
2013.18219	-0.01912	0.0665798	-0.08746
