Year	EW(m)	NS(m)	UD(m)
2011.20137	-0.0103	0.0264096	-0.00836
2011.20411	-0.01002	0.0274396	-0.00932
2011.20685	-0.00989	0.0264496	-0.00942
2011.20959	-0.00943	0.0272496	-0.01069
2011.21233	-0.00912	0.0258496	-0.0091
2011.21507	-0.00779	0.0263496	-0.00936
2011.21781	-0.00819	0.0274996	-0.01495
2011.22055	-0.00932	0.0266696	-0.01269
2011.22329	-0.00998	0.0280196	-0.01584
2011.22603	-0.01042	0.0284196	-0.01499
2011.22877	-0.01188	0.0283296	-0.01152
2011.23151	-0.01119	0.0290596	-0.0131
2011.23425	-0.01059	0.0296196	-0.01384
2011.23699	-0.01209	0.0283596	-0.01179
2011.23973	-0.01093	0.0288096	-0.0161
2011.24247	-0.01045	0.0291496	-0.01603
2011.24521	-0.01073	0.0308696	-0.01588
2011.24795	-0.00981	0.0292896	-0.01609
2011.25068	-0.01049	0.0286396	-0.01986
2011.25342	-0.01014	0.0299996	-0.01697
2011.25616	-0.01068	0.0311396	-0.02022
2011.2589	-0.00989	0.0290696	-0.01591
2011.26164	-0.0094	0.0288696	-0.02119
2011.26438	-0.00901	0.0281096	-0.01583
2011.26712	-0.00951	0.0289296	-0.02102
2011.26986	-0.01006	0.0303796	-0.01793
2011.2726	-0.00961	0.0297196	-0.02353
2011.27534	-0.00999	0.0284696	-0.01658
2011.27808	-0.01031	0.0300696	-0.01651
2011.28082	-0.01022	0.0290896	-0.01856
2011.28356	-0.0099	0.0296096	-0.01705
2011.2863	-0.00914	0.0304796	-0.01886
2011.28904	-0.00825	0.0294696	-0.01947
2011.29178	-0.00932	0.0322696	-0.0174
2011.29452	-0.00996	0.0309896	-0.01701
2011.29726	-0.00881	0.0298596	-0.01768
2011.3	-0.00789	0.0311996	-0.01901
2011.30274	-0.00936	0.0317796	-0.01932
2011.30548	-0.00854	0.0308096	-0.0222
2011.30822	-0.00985	0.0314996	-0.01942
2011.31096	-0.00927	0.0309596	-0.01866
2011.3137	-0.00956	0.0314596	-0.01185
2011.31644	-0.00932	0.0316296	-0.02084
2011.31918	-0.0094	0.0313296	-0.01708
2011.32192	-0.00937	0.0327696	-0.01323
2011.32466	-0.00641	0.0314796	-0.02149
2011.3274	-0.00818	0.0328396	-0.01491
2011.33014	-0.00901	0.0305596	-0.01821
2011.33288	-0.0072	0.0323496	-0.02044
2011.33562	-0.00735	0.0338796	-0.01927
2011.33836	-0.00871	0.0315096	-0.01591
2011.3411	-0.00698	0.0307196	-0.01457
2011.34384	-0.00794	0.0325796	-0.01853
2011.34658	-0.00547	0.0326596	-0.01698
2011.34932	-0.01032	0.0334296	-0.01319
2011.35205	-0.00696	0.0316696	-0.01683
2011.35479	-0.00526	0.0317496	-0.02291
2011.35753	-0.0084	0.0313596	-0.01415
2011.36027	-0.00874	0.0323996	-0.01629
2011.36301	-0.00864	0.0338996	-0.01389
2011.36575	-0.00884	0.0336696	-0.01803
2011.36849	-0.00684	0.0324796	-0.01953
2011.37123	-0.00865	0.0326696	-0.01291
2011.37397	-0.00967	0.0330496	-0.01148
2011.37671	-0.00908	0.0331096	-0.01157
2011.37945	-0.0087	0.0335196	-0.0143
2011.38219	-0.00673	0.0316296	-0.01837
2011.38493	-0.00818	0.0327396	-0.02028
2011.38767	-0.00997	0.0323096	-0.01984
2011.39041	-0.00968	0.0319596	-0.02005
2011.39315	-0.00934	0.0325796	-0.01615
2011.40137	-0.00975	0.0318696	-0.02075
2011.40411	-0.0091	0.0347396	-0.02006
2011.40685	-0.00815	0.0321396	-0.02228
2011.40959	-0.00973	0.0324296	-0.02158
2011.41233	-0.00959	0.0333996	-0.02387
2011.41507	-0.00911	0.0325896	-0.0201
2011.41781	-0.01168	0.0330196	-0.01998
2011.42055	-0.01031	0.0341296	-0.01937
2011.42329	-0.00672	0.0346096	-0.02992
2011.42603	-0.00716	0.0335996	-0.02153
2011.42877	-0.0098	0.0315296	-0.01364
2011.43151	-0.01	0.0317296	-0.01789
2011.43425	-0.00929	0.0332096	-0.01432
2011.43699	-0.00798	0.0328196	-0.01838
2011.43973	-0.01379	0.0340196	-0.00627
2011.44247	-0.01025	0.0314596	-0.00946
2011.44521	-0.01204	0.0337396	-0.01479
2011.45068	-0.01426	0.0371296	-0.01078
2011.45342	-0.01046	0.0348596	-0.00617
2011.45616	-0.00941	0.0351596	-0.01582
2011.4589	-0.00787	0.0342696	-0.03152
2011.46164	-0.01213	0.0344796	-0.01937
2011.46438	-0.0105	0.0340796	-0.01963
2011.46712	-0.01134	0.0333996	-0.01501
2011.46986	-0.01067	0.0386696	-0.01832
2011.4726	-0.00843	0.0324196	-0.02347
2011.47534	-0.01091	0.0333296	-0.01773
2011.47808	-0.00787	0.0415796	-0.02331
2011.48082	-0.01127	0.0318396	-0.02147
2011.48356	-0.01005	0.0338996	-0.02416
2011.48904	-0.00639	0.0332796	-0.01486
2011.49178	-0.01124	0.0348996	-0.01778
2011.49452	-0.01518	0.0374296	-0.0167
2011.49726	-0.01059	0.0371396	-0.01137
2011.5	-0.00927	0.0340496	-0.01672
2011.50274	-0.01087	0.0371396	-0.01034
2011.50548	-0.01152	0.0361396	-0.01897
2011.50822	-0.00864	0.0334496	-0.02101
2011.51096	-0.008	0.0331196	-0.01061
2011.5137	-0.01106	0.0348296	-0.01569
2011.51644	-0.01142	0.0370296	-0.0142
2011.51918	-0.0122	0.0355796	-0.01829
2011.5274	-0.01255	0.0392096	-0.01941
2011.53014	-0.01165	0.0378696	-0.02616
2011.53288	-0.01205	0.0347096	-0.02584
2011.53562	-0.01698	0.0386096	-0.01353
2011.53836	-0.01197	0.0354596	-0.01461
2011.5411	-0.01347	0.0353896	-0.02343
2011.54384	-0.01116	0.0357996	-0.02443
2011.54932	-0.01052	0.0386096	-0.0243
2011.55205	-0.01377	0.0385796	-0.02409
2011.55479	-0.01074	0.0353596	-0.02023
2011.55753	-0.01016	0.0383296	-0.02137
2011.56027	-0.01195	0.0394496	-0.01734
2011.56301	-0.01395	0.0356596	-0.01383
2011.56575	-0.01247	0.0388996	-0.02326
2011.56849	-0.01175	0.0390696	-0.01829
2011.57397	-0.01006	0.0362496	-0.01869
2011.57671	-0.00912	0.0378196	-0.02928
2011.57945	-0.00941	0.0376696	-0.02647
2011.58219	-0.00824	0.0384196	-0.02328
2011.58493	-0.01106	0.0368796	-0.02039
2011.58767	-0.01275	0.0406296	-0.01616
2011.59041	-0.01149	0.0387796	-0.02054
2011.59315	-0.011	0.0342796	-0.02685
2011.59589	-0.01105	0.0395496	-0.02572
2011.59863	-0.01229	0.0357196	-0.03103
2011.60137	-0.01009	0.0354696	-0.02777
2011.60411	-0.01305	0.0417496	-0.02011
2011.60685	-0.0113	0.0392996	-0.032
2011.60959	-0.0145	0.0408596	-0.02191
2011.61233	-0.012	0.0389996	-0.0207
2011.61507	-0.01436	0.0420396	-0.01612
2011.61781	-0.01548	0.0413496	-0.0144
2011.62055	-0.00986	0.0380896	-0.02559
2011.62329	-0.00725	0.0423896	-0.02907
2011.62603	-0.00987	0.0410196	-0.02538
2011.63151	-0.00519	0.0402196	-0.03502
2011.63425	-0.01303	0.0399396	-0.02889
2011.63699	-0.0135	0.0404796	-0.02663
2011.63973	-0.01394	0.0418096	-0.02487
2011.64247	-0.01435	0.0382996	-0.02509
2011.64521	-0.01436	0.0446496	-0.03261
2011.64795	-0.01424	0.0411396	-0.02844
2011.65068	-0.0153	0.0401796	-0.02081
2011.65342	-0.01313	0.0404896	-0.0172
2011.65616	-0.0122	0.0377596	-0.03086
2011.6589	-0.01366	0.0434696	-0.03204
2011.66164	-0.0145	0.0405496	-0.02667
2011.66438	-0.0131	0.0419196	-0.0252
2011.66712	-0.00896	0.0422196	-0.03008
2011.66986	-0.00847	0.0423596	-0.03416
2011.6726	-0.01048	0.0422696	-0.02801
2011.67534	-0.01084	0.0412796	-0.03158
2011.67808	-0.01199	0.0410496	-0.03426
2011.68082	-0.01169	0.0417196	-0.03134
2011.68356	-0.01112	0.0401196	-0.03368
2011.6863	-0.01184	0.0423496	-0.0339
2011.68904	-0.01227	0.0404896	-0.03074
2011.69178	-0.01253	0.0418896	-0.02657
2011.69452	-0.00729	0.0420596	-0.03829
2011.69726	-0.00857	0.0403596	-0.02955
2011.70274	-0.00914	0.0409896	-0.0439
2011.70548	-0.01297	0.0419096	-0.03217
2011.70822	-0.0108	0.0421196	-0.03127
2011.71096	-0.01033	0.0408696	-0.04151
2011.7137	-0.01149	0.0417196	-0.03936
2011.71644	-0.01297	0.0444896	-0.03377
2011.71918	-0.01332	0.0437096	-0.03245
2011.72192	-0.0141	0.0439996	-0.0321
2011.72466	-0.01504	0.0444896	-0.03214
2011.7274	-0.01469	0.0449596	-0.03147
2011.73014	-0.01647	0.0448196	-0.0324
2011.73288	-0.01482	0.0451896	-0.03451
2011.73562	-0.01413	0.0460996	-0.03791
2011.73836	-0.01276	0.0439596	-0.02916
2011.7411	-0.01313	0.0436996	-0.04014
2011.74384	-0.01387	0.0451396	-0.03631
2011.74658	-0.01246	0.0439096	-0.03581
2011.74932	-0.01285	0.0446996	-0.04754
2011.75205	-0.01323	0.0438596	-0.04191
2011.75479	-0.01354	0.0446296	-0.0388
2011.75753	-0.0127	0.0449396	-0.03803
2011.76027	-0.01369	0.0435896	-0.03466
2011.76301	-0.0144	0.0454796	-0.03597
2011.76575	-0.01573	0.0458696	-0.03363
2011.76849	-0.01487	0.0474296	-0.0374
2011.77123	-0.01409	0.0450296	-0.04335
2011.77397	-0.01497	0.0455296	-0.04019
