YYYY	EW(m)	NS(m)	UD(m)
2012.40027	-0.01741	0.0479744	0.00138
2012.40301	-0.01827	0.0474944	0.00366
2012.40574	-0.01657	0.0473044	-0.0007
2012.40847	-0.01906	0.0458744	-0.00061
2012.4112	-0.01836	0.0496044	-0.00637
2012.41393	-0.01833	0.0487244	-0.00568
2012.41667	-0.01799	0.0474744	-0.00262
2012.4194	-0.01854	0.0479544	-0.00091
2012.42213	-0.01842	0.0479244	-0.00227
2012.42486	-0.0194	0.0479844	0.0043
2012.4276	-0.0181	0.0473344	0.00075
2012.43033	-0.01908	0.0479544	0.00474
2012.43306	-0.0154	0.0463844	0.00379
2012.43579	-0.02012	0.0488644	0.00675
2012.43852	-0.01637	0.0452744	0.00178
2012.44126	-0.01675	0.0485044	0.00368
2012.44399	-0.01873	0.0490244	0.00385
2012.44672	-0.02008	0.0490244	0.00682
2012.44945	-0.01659	0.0466144	0.00532
2012.45219	-0.01847	0.0498244	0.00269
2012.45492	-0.0195	0.0483244	0.00263
2012.45765	-0.01828	0.0488344	0.0066
2012.46038	-0.02043	0.0499444	0.00599
2012.46311	-0.01967	0.0491144	0.00126
2012.46585	-0.0195	0.0498444	0.01219
2012.46858	-0.01892	0.0507644	0.00007
2012.47131	-0.01882	0.0482744	0.00663
2012.47404	-0.01706	0.0495444	0.00729
2012.47678	-0.01837	0.0543244	0.0033
2012.47951	-0.01822	0.0506244	0
2012.48224	-0.01855	0.0506844	0.00076
2012.48497	-0.02005	0.0523644	0.00046
2012.50137	-0.02005	0.0500144	0.01199
2012.5041	-0.01741	0.0512244	0.00103
2012.50683	-0.01822	0.0515644	0.0093
2012.50956	-0.01918	0.0505244	0.00416
2012.52869	-0.02011	0.0519444	0.0132
2012.53142	-0.01485	0.0547144	-0.00211
2012.53415	-0.01976	0.0524544	0.0019
2012.53689	-0.01966	0.0525144	0.00215
2012.53962	-0.02187	0.0518944	0.01301
2012.54235	-0.0193	0.0518044	0.00409
2012.5806	-0.02236	0.0531844	0.00935
2012.58333	-0.019	0.0505544	-0.00546
2012.58607	-0.02104	0.0525244	0.00214
2012.5888	-0.01921	0.0479644	-0.0134
2012.59153	-0.01558	0.0497344	-0.00304
2012.59426	-0.01518	0.0487644	-0.00733
2012.59699	-0.01981	0.0570144	0.00183
2012.60246	-0.01585	0.0536944	-0.0074
2012.60519	-0.01944	0.0536344	0.00839
2012.60792	-0.02254	0.0559544	0.0048
2012.61066	-0.02011	0.0549744	-0.00244
2012.61339	-0.01662	0.0561544	0.00284
2012.61612	-0.01826	0.0557844	0.00029
